"subject","condition","age","gender","mil","leo","col","comments","total_time"
"96fa5f52637d8a82ef8f","WL","25-34","Male","No","No","No","",2868753
"70f8c63d4640084f40fb","SL","45-54","Male","No","No","No","",2034804
"bc8e6148692070e83cd5","TOGGLE","35-44","Male","No","No","No","cool beans ",1450749
"20b3be4a39e663282ffe","WL","25-34","Female","No","No","No","no",4409398
"b92ae17a8c50bc6f917e","TOGGLE","25-34","Male","No","No","No","None",3071037
"91e05c4317f698b43f3f","WL","25-34","Male","No","No","No","None",3125817
"04cb952bc5f3c3967b43","TOGGLE","35-44","Male","No","No","Yes","",3072156
"637959c61a6842d67ab9","WL","35-44","Male","No","No","No","Thank You",2234997
"58b860ca50860a98e88f","SL","55-64","Female","No","No","No","Never have done this wonder on the accuracy. ",1747653
"3d46258cfee8726859a6","TOGGLE","25-34","Female","No","No","No","No",1995811
"d34d2e0f8f71dbe7e758","SL","35-44","Male","No","No","No","nothing",2195095
"a34f467368f0fb22d66d","SL","45-54","Female","No","No","No","good to do",2543678
"b6bbd48e8685e7ef910f","WL","25-34","Female","Yes","No","No","This survey is too long",2300218
"919e85944b07fa96f021","TOGGLE","25-34","Female","No","No","No","I like this task",948970
"2b2e2cda707c05a1883a","WL","35-44","Male","No","No","No","Very interesting and fun task!",1695276
