"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"96fa5f52637d8a82ef8f","WL",100,0,6,"Heading","3355.73499999009",40,"",0,0,4875.72000001092,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",25,-30,6,"Distance","4521.76000003237",50,"meters",0,0,4400.45000007376,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",25,0,1,"Heading","2994.57500001881",50,"",0,0,6557.90000001434,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",200,-20,6,"Distance","2495.60999998357",75,"meters",0,0,5862.95000009704,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,-10,1,"Distance","1711.87999995891",75,"meters",0,0,3000.55500003509,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",25,-10,3,"Distance","2412.23000001628",75,"meters",0,0,1805.30500004534,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",200,-10,6,"Distance","10515.5049999012",50,"meters",0,0,4451.83500007261,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",50,-30,1,"Distance","2058.92999994103",75,"meters",0,0,6165.38000002038,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",150,0,6,"Distance","1647.23000000231",75,"meters",0,0,3463.00499991048,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",50,-20,3,"Heading","1849.25500000827",75,"",0,0,1921.05000000447,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",25,0,3,"Distance","1818.12999991234",75,"meters",0,0,3063.12499998603,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,-20,1,"Distance","1760.55499992799",75,"meters",0,0,9749.05500002205,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",150,0,1,"Heading","2726.39500000514",75,"",0,0,4917.42499999236,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",150,-30,6,"Heading","2120.33499998506",50,"",0,0,1475.65999999642,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",50,-20,1,"Heading","1445.21000003442",50,"",0,0,1098.85000006761,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",25,-30,1,"Distance","1317.2800000757",50,"meters",0,0,2745.40000001434,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,0,1,"Heading","1460.46500001103",50,"",0,0,1129.70499997027,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",100,-10,6,"Distance","1236.6949999705",50,"meters",0,0,1238.20499994326,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",200,-10,6,"Heading","6189.4499999471",50,"",0,0,1819.43499995396,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",100,-10,3,"Distance","1903.59500003979",50,"meters",0,0,4362.05500003416,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",150,-10,3,"Heading","1787.164999987",50,"",0,0,2743.75499994494,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,-30,1,"Heading","1903.81499996874",50,"",0,0,4676.57999997027,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,0,6,"Distance","1789.03500002343",50,"meters",0,0,1126.2450000504,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",50,-10,6,"Distance","1648.72000005562",50,"meters",0,0,1045.58999999426,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,-20,6,"Distance","1754.22499992419",50,"meters",0,0,2337.93999999762,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,0,3,"Heading","2000.23500004318",35,"",0,0,1159.75499991328,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",100,0,6,"Distance","3698.96499998868",45,"meters",0,0,1177.81000002287,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",15,-30,6,"Distance","3460.96499997657",50,"meters",0,0,2747.31500004418,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",100,0,1,"Heading","3760.18500002101",60,"",0,0,5972.55000006407,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
"96fa5f52637d8a82ef8f","WL",50,0,3,"Distance","1897.02000003308",50,"meters",0,0,1844.70499993768,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2328,1177
