"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"c1fea4b16a623cd4b34f","WL",200,-10,6,"Heading","4070.64500078559",20,"",0,0,3532.75499958545,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",150,0,3,"Heading","3165.7849997282",15,"",0,0,2228.3100001514,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",200,-30,6,"Heading","2318.07500030845",0,"",0,0,2107.25499968976,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,-30,1,"Heading","5347.945000045",15,"",0,0,5015.9149998799,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,0,6,"Heading","3690.62000047415",90,"",0,0,2041.99500009418,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",75,0,1,"Distance","9413.70999999344",120,"meters",0,0,2125.8800001815,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,-30,6,"Heading","2758.8450005278",45,"",0,0,1856.10000044107,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,0,6,"Distance","3819.24500036985",150,"meters",0,0,1555.99499959499,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,-30,6,"Distance","9665.6550001353",150,"meters",0,0,2128.81499994546,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",150,-20,1,"Distance","3393.86999979615",200,"meters",0,0,28840.2499994263,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,-30,1,"Heading","3003.51000018418",75,"",0,0,1625.20499993116,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",200,-10,3,"Distance","3663.6199997738",150,"meters",0,0,36187.0750002563,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,0,1,"Distance","4388.36999982595",250,"meters",0,0,1493.02500020713,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,0,3,"Distance","4145.5450002104",150,"meters",0,0,1531.79000038654,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,-20,1,"Heading","4372.30999954045",135,"",0,0,1577.00000051409,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,0,1,"Distance","5001.45999994129",150,"meters",0,0,2269.70000006258,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",150,-30,6,"Distance","9606.51999991387",100,"meters",0,0,1400.4800003022,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,-10,3,"Distance","4111.6949999705",150,"meters",0,0,1406.23500011861,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",200,-20,6,"Distance","3025.54500009865",150,"meters",0,0,96546.145000495,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,-10,6,"Heading","3425.11499952525",65,"",0,0,1513.18500004709,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,-20,6,"Distance","3123.42000007629",150,"meters",0,0,1543.87999977916,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,-30,6,"Distance","4497.49500025064",150,"meters",0,0,1232.89499990642,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",150,-30,3,"Distance","1945.0350003317",150,"meters",0,0,1021.12000063062,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,0,3,"Heading","2417.88499988616",150,"",0,0,1620.14000024647,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",75,-20,1,"Heading","3448.23000021279",150,"",0,0,1726.90000012517,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",150,-10,1,"Distance","1947.47000001371",150,"meters",0,0,1488.49000036716,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,-20,6,"Distance","1791.13999940455",150,"meters",0,0,1481.97999969125,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",25,0,3,"Distance","2200.03500021994",150,"meters",0,0,1640.55000059307,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,-30,3,"Distance","4025.97500011325",150,"meters",0,0,1409.00999959558,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,0,3,"Heading","1734.15500018746",150,"",0,0,8072.87999987602,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",75,-10,3,"Heading","1966.21500048786",150,"",0,0,1663.6500004679,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,0,6,"Distance","1885.61000023037",150,"meters",0,0,1420.96500005573,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,-10,6,"Distance","1893.0850001052",150,"meters",0,0,1654.9399998039,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,-10,3,"Distance","1856.89499974251",150,"meters",0,0,1258.60999990255,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,0,3,"Heading","2108.03999938071",150,"",0,0,1677.62000020593,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",75,-20,3,"Heading","1784.75499991328",150,"",0,0,1464.430000633,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",200,0,3,"Distance","1921.93000018597",150,"meters",0,0,1053.72000019997,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",100,-20,3,"Distance","3621.57499976456",150,"meters",0,0,1434.72000025213,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,0,6,"Heading","1874.38999954611",150,"",0,0,1464.63999990374,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,-20,1,"Distance","1750.39999932051",150,"meters",0,0,1581.16500079632,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",15,-30,3,"Heading","1838.3799996227",150,"",0,0,1369.36999950558,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
"c1fea4b16a623cd4b34f","WL",50,-30,1,"Distance","1780.70000000298",150,"meters",0,0,1227.63499990106,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1635,780
