"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight","dist_meters","estimate_err"
"sub12","WL",15,-20,1,"Number","2747",1,"",0,0,1515,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",25,-20,3,"Number","2912",3,"",0,0,3177,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,-10,1,"Number","2055",1,"",0,0,1860,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",100,0,3,"Number","2353",3,"",0,0,2328,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",200,-30,6,"Number","2261",4,"",0,0,6895,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,4,-2
"sub12","WL",75,-20,1,"Number","2210",1,"",0,0,11001,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,-30,1,"Number","2381",1,"",0,0,1746,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",100,-20,1,"Number","1245",1,"",0,0,2724,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,-20,6,"Number","2694",6,"",0,0,6985,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",200,-10,6,"Number","2212",5,"",0,0,4376,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",200,-10,3,"Number","2530",3,"",0,0,4094,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",50,-30,6,"Number","2459",5,"",0,0,8000,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",50,-10,1,"Number","2742",1,"",0,0,9291,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",75,-30,6,"Number","2101",6,"",0,0,3242,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
