"subject","condition","age","gender","mil","leo","col","comments","total_time"
"c1fea4b16a623cd4b34f","WL","25-34","Male","Yes","Yes","No","Interested",1538142
"5ce421047cadb9563298","SL","35-44","Female","No","No","No","NA",4367004
"cb33ef2eb593f50469d9","TOGGLE","65+","Male","No","No","No","WELL, ITS PRETTY INTERESTING.",2084763
"ed98406eb2fb2cee3586","WL","25-34","Male","No","No","No","Nothing",1626012
"b6af4fba0707225b88c6","WL","55-64","Male","No","No","No","",3675620
"b759a10905ff6acf8c8b","WL","25-34","Male","No","No","No","",2120763
"bb6bb1c0eb581072ba99","SL","25-34","Male","No","No","No","none",1312046
"64e6dc024b446b55739a","WL","25-34","Male","No","No","No","The study was really challenging to me. though slightly interesting",4435900
"457721a4a93ab6c983d0","TOGGLE","25-34","Male","Yes","Yes","No","Interested",1460036
"98b0f6a6c10bbac3ed08","WL","35-44","Female","No","No","No","This is very good task.",2114425
"736bdf214487177022e5","SL","45-54","Female","Yes","Yes","Yes","GOOD ONE AND I LIKE THIS",3625218
"5db6156ae35746d944d1","WL","55-64","Female","No","No","No","innovative task",3372615
"2d6a9afc22d6a48697de","SL","45-54","Female","Yes","Yes","No","NO",3470507
"e879b5cadce5f85d8499","WL","25-34","Male","No","No","No","",2747390
"08c2c1e4288f21b62161","WL","25-34","Male","Yes","Yes","No","This study is very interesting",2758805
"e9e417a7b58241c607c4","SL","25-34","Female","No","No","No","nice task ",3899194
"6f1fa9125c2d037bc1f3","TOGGLE","25-34","Male","No","No","No","It is interesting",1161604
"de1b0a045aa696ea6974","TOGGLE","45-54","Male","No","No","No","The target disappear trial was odd as the icon never went out of view for me.  I didn't press the button to indicate this as I could still see the target.",1830093
"bec174110fa304bb35d4","SL","25-34","Male","Yes","Yes","Yes","",4996587
"fa18c06cc119aa932a87","WL","55-64","Female","No","No","No","none, but thank you.",2423294
"1b12b81d3437180234b3","WL","25-34","Female","Yes","Yes","No","none",2666913
"c25a28933629f381f987","SL","25-34","Male","No","No","No","I tried my best! Good luck!",1640559
"7807dd7b07ebc89da9df","TOGGLE","35-44","Female","No","No","No","None",1726361
"fe2dbbb8bf66e270447b","TOGGLE","25-34","Male","No","No","No","",743928
"83538a13d227275b86a5","WL","35-44","Female","No","No","No","Nice survey",2176845
